OrgNo;FirmaNavn;Status;AntallAnsatte;OrganisasjonsformKode;Naeringskode
958916116;ASTAFJORD SMOLT AS;Aktiv;21;AS;03.222
977520053;SANDHEI HOLDING AS;Aktiv;;AS;33.120
987309113;IMTAS PROSJEKT AS;Aktiv;110;AS;33.120
988365777;GRATANGLAKS AS;Aktiv;54;AS;03.211
984453035;STRANDVEIEN SENTER AS;Aktiv;;AS;68.209
914455456;HOPPENSPRETT NARVIK AS;Slettet;;AS;
987705507;IMTAS EIENDOM AS;Aktiv;;AS;68.209
980386465;POWEROFFICE AS;Aktiv;92;AS;58.290
997475976;NARVIK MARINA AS;Aktiv;;AS;45.112
913779509;BODØ WINDSURFING;Aktiv;;FLI;93.120
986662391;BRENDEBAKKEN VERK AS;Aktiv;;AS;82.990
998536324;TELTPROFFEN AS;Aktiv;10;AS;77.210
922633452;AIDER AS;Aktiv;1036;AS;69.201
914778824;MM PROSJEKT AS;Aktiv;;AS;41.200
989130846;TID OG PENGER AS;Aktiv;6;AS;69.201
996025349;JOHNSEN BYGG OG UTLEIE;Aktiv;;ENK;41.200
912315282;FREMMERSVIK AS;Aktiv;;AS;90.020
919807784;NARVIK BYGG AS;Aktiv;47;AS;41.200
920565395;ASPIA NORD AS;Slettet;;AS;
912270440;INDIRA AS;Aktiv;51;AS;71.121
893934162;SALTEN SPORTSFLYKLUBB;Aktiv;;FLI;93.120
914624649;EIENDOM NORD AS;Aktiv;;AS;68.209
914087309;ROGALAND SJØ AS;Aktiv;;AS;77.340
986859861;ASKVIG AS;Aktiv;;AS;03.211
991507299;ASKVIG EIENDOM AS;Aktiv;;AS;68.209
989215442;ROVI AS;Aktiv;;AS;71.129
944663002;FINNØY FISK AS;Aktiv;;AS;03.211
988397725;FISTERKAIEN AS;Aktiv;;AS;68.320
989675982;RANDØY FERIEPARK AS;Aktiv;;AS;55.300
981979583;FISTER SMOLT AS;Aktiv;19;AS;03.222
883692012;BO BYGG AS;Aktiv;;AS;41.200
992534176;KVIT VINTER AS;Aktiv;;AS;68.209
992094893;FJORDGLYTT AS;Aktiv;;AS;68.209
999330061;FATLAND KRAFT AS;Aktiv;;AS;36.000
916802048;SIGV TOMSTAD AS;Aktiv;;AS;68.209
886995482;VIGHEDLÅ AS;Aktiv;;AS;41.109
985188076;EVENTUS SANDVIKA ANS;Aktiv;;ANS;69.201
813083272;TOM LARSEN TRANSPORT AS;Slettet;;AS;
997660153;DAMA DI AS;Aktiv;18;AS;56.301
962296726;TM INVEST AS;Aktiv;;AS;68.209
995285207;TONY GRIFF PETTERSEN;Aktiv;;ENK;55.300
860671492;ARNTSEN MASKINSTASJON AS;Aktiv;;AS;43.120
931016091;INGOLF THUNE AS;Aktiv;67;AS;49.410
983976883;NARVIK SVØMMEKLUBB;Aktiv;;FLI;93.120
981883179;KRAFFTWORK ERIK N. H. KRAFFT;Aktiv;;ENK;90.012
930455393;SNEKKERMESTER VIGGO REMMAN AS;Aktiv;10;AS;41.200
984101953;JOHN JAKOBSEN TRANSPORT AS;Aktiv;10;AS;49.410
886972512;SMÅBERGAN AS;Aktiv;;AS;68.209
975506932;BOLIGSAMEIET BERGENSVEIEN 4;Aktiv;;ESEK;97.000
882574512;KOL TRANSPORT AS;Aktiv;10;AS;49.410
989077279;WOLDEN MASKIN AS;Aktiv;14;AS;43.120
998421071;ORIGO MANAGEMENT AS;Aktiv;;AS;77.110
986436510;AMARK EIENDOM AS;Aktiv;;AS;68.209
890591272;SKARVENESVEIEN 6 AS;Aktiv;;AS;68.209
989810731;GH MASKIN & MARINESERVICE AS;Aktiv;;AS;22.290
913871979;FAGERHAUG MASKIN AS;Aktiv;25;AS;43.120
988336106;KB MANAGEMENT AS;Aktiv;;AS;62.020
984127448;ØKONOMI OG REGNSKAPSPARTNER AS;Aktiv;;AS;69.201
857043022;MILLEJORDNES AS;Aktiv;;AS;56.301
995737698;LYNNE PUBLISHING AS;Aktiv;;AS;59.200
914473152;GRUNN OG BETONG ENTREPRENØR AS;Aktiv;;AS;43.990
899312252;GREEN ADVENTURE AS;Aktiv;;AS;46.370
986006869;FORLAGET 67N Rolf Liland;Aktiv;;ENK;58.190
998628083;DIREKTE REGNSKAP AS;Aktiv;;AS;69.201
995864304;JKE NARVIK AS;Aktiv;;AS;47.599
912828719;MOMENT BOLIG AS;Slettet;;AS;
966313404;EKSTERN REGNSKAP AS;Aktiv;8;AS;69.201
924400676;ESPEN ERIKSEN TRANSPORT;Aktiv;;ENK;49.320
964532753;LINDAHL EIENDOMMER AS;Aktiv;;AS;68.209
996250881;HARDER AS;Aktiv;5;AS;71.121
929199596;HARDER EIENDOM AS;Aktiv;5;AS;68.209
914917573;OPPLYST - OPPLÆRINGSKONTORET FOR YRKESFAG I SALTEN;Aktiv;;FLI;85.609
898316572;RESULTAT AS;Aktiv;;AS;69.201
996043452;KLUBBHOLMEN 6C AS;Aktiv;;AS;68.209
992401079;HS KOBBER OG BLIKKENSLAGER AS;Aktiv;;AS;43.911
914315204;LINDAHL BOLIG I AS;Aktiv;;AS;68.100
993614882;ØKORÅD NORDSALTEN AS;Aktiv;7;AS;69.201
914315263;LINDAHL BOLIG II AS;Aktiv;;AS;68.209
911810271;FOTOGRAF KAROLINE O.A.PETTERSEN AS;Aktiv;;AS;74.200
995928647;HELNESSUND BRYGGER AS;Aktiv;40;AS;55.202
916498136;WKN AS;Aktiv;;AS;69.202
815143272;STIAN STEFFENSEN AS;Aktiv;;AS;74.901
912107574;HARDWOODS AS;Aktiv;;AS;71.121
992864281;AURORA DESIGN & MEDIA AS;Aktiv;;AS;74.102
848072222;MAESTRO SOFT AS;Aktiv;39;AS;58.290
976470265;FREDING TRANSPORT AS;Aktiv;;AS;43.120
989158953;KULTA INVEST AS;Aktiv;;AS;93.291
992093382;ODD LUNDBERG AS;Aktiv;15;AS;03.111
992508949;ØSTERDALEN GOLFBANE AS;Aktiv;;AS;93.110
911698420;BY NORTH AS;Aktiv;7;AS;74.102
912899586;EMONKEY AS;Aktiv;;AS;62.020
980386465;POWEROFFICE AS;Aktiv;92;AS;58.290
913663837;VAXA PROPERTY AS;Aktiv;17;AS;68.320
811573582;BY1BIL AS;Aktiv;;AS;45.320
913172817;FORSIKRING HELGELAND AS;Aktiv;;AS;66.220
813322072;WAAG PRODUKSJONER AS;Konkurs;;AS;59.110
914092051;HOME BIZ LAUNCH PAD AS;Aktiv;;AS;73.110
915294626;SUPERTUNE AS;Aktiv;;AS;47.522
915248039;HEIDITT AS;Aktiv;;AS;70.220
913018486;AMUNDSEN RØR AS;Aktiv;;AS;43.221
912282554;FELL TECHNOLOGY AS;Aktiv;34;AS;71.129
915104495;KBI FINANCIAL MANAGEMENT AS;Aktiv;;AS;70.220
915338259;SENZU FRISØR AS;Aktiv;;AS;96.020
986551999;SHS EIENDOM AS;Aktiv;;AS;68.209
915131794;OSLO BYGG- OG HÅNDVERKSERVICE V/ JESS MØLLER;Aktiv;;ENK;41.200
987902736;BOLIGSERVICE NARVIK AS;Aktiv;;AS;41.200
988591637;A MARKUSSEN HOLDING AS;Aktiv;;AS;68.209
976096215;JARNES MØBLER AS;Aktiv;5;AS;31.090
912784037;ØYJORD RIDEHALL AS;Aktiv;;AS;68.209
986516689;EQUIE CONSULTING Sissel Bjørklund;Aktiv;9;ENK;02.200
915018238;ZOOEXPRESSEN AS;Aktiv;13;AS;47.762
915125948;MODELL HOBBY AS;Slettet;;AS;
914948142;ADWICE AS;Slettet;;AS;
923435271;MOHO AS;Aktiv;;AS;68.209
914735084;SPEKTOR ADVOKAT AS;Aktiv;;AS;69.100
912326497;NORTH WINE & SPIRITS AS;Aktiv;;AS;46.341
915555594;EA BYGG OG BETONG AS;UnderAvvikling;;AS;43.990
958027028;JAKLAMYRA BARNEHAGE SA;Aktiv;18;SA;88.911
970235760;BEISFJORD VANNVERK SA;Aktiv;;SA;36.000
970890696;VIKTOR BERG TRANSPORT AS;Aktiv;8;AS;49.410
988413356;FOLDVIK BRYGGEFERIE AS;Aktiv;;AS;55.202
993168262;STIGMA SALG OG TJENESTER AS;Aktiv;;AS;46.694
915662757;TRAFIKKSKOLA START AS;Aktiv;;AS;85.530
913752058;DIN GARTNER-KAWA AS;Aktiv;8;AS;81.300
912185001;MEE AS;Aktiv;;AS;62.020
914150132;EMPTUM AS;Aktiv;;AS;70.220
936066798;LUNT HUS AS;Aktiv;;AS;68.209
987520507;SISOMAR AS;Aktiv;22;AS;03.222
994235729;SDG TBWA AS;Aktiv;13;AS;70.210
980386465;POWEROFFICE AS;Aktiv;92;AS;58.290
995748711;SERVERSKY AS;Slettet;;AS;
981894197;NEON TATTOO STUDIO AS;Aktiv;;AS;68.209
976221079;HANNE E LYNNE;Aktiv;;ENK;01.620
989557580;AM BYGG AS;Aktiv;5;AS;41.200
